# breadth, S_absorption, pressure, size_avg, k_absorption, surface, volume, size_std, potential, kinetic, energy, euler, temperature
8.8085e+00 1.2375e+00 -4.0077e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1922e+01 1.0586e-01 -1.1816e+01 6.0000e+00 7.0576e-02
8.8085e+00 1.2375e+00 -3.9340e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2006e+01 2.6486e-01 -1.1741e+01 6.0000e+00 1.7657e-01
8.8085e+00 1.2375e+00 -3.2370e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1951e+01 1.2289e-01 -1.1828e+01 6.0000e+00 8.1927e-02
8.8085e+00 1.2375e+00 -3.7305e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2010e+01 1.7743e-01 -1.1833e+01 6.0000e+00 1.1829e-01
8.8085e+00 1.2375e+00 -4.2868e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2032e+01 1.2400e-01 -1.1908e+01 6.0000e+00 8.2664e-02
8.8085e+00 1.2375e+00 -4.3288e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2054e+01 6.3036e-02 -1.1991e+01 6.0000e+00 4.2024e-02
8.8085e+00 1.2375e+00 -4.2403e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2064e+01 8.7973e-02 -1.1976e+01 6.0000e+00 5.8649e-02
8.8085e+00 1.2375e+00 -3.9977e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2048e+01 1.0947e-01 -1.1938e+01 6.0000e+00 7.2983e-02
8.8085e+00 1.2375e+00 -4.1333e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2010e+01 1.1738e-01 -1.1893e+01 6.0000e+00 7.8256e-02
8.8085e+00 1.2375e+00 -4.1326e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1984e+01 1.6130e-01 -1.1823e+01 6.0000e+00 1.0753e-01
8.8085e+00 1.2375e+00 -3.9302e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1961e+01 1.3420e-01 -1.1827e+01 6.0000e+00 8.9464e-02
8.8085e+00 1.2375e+00 -3.7718e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2013e+01 1.7266e-01 -1.1841e+01 6.0000e+00 1.1511e-01
8.8085e+00 1.2375e+00 -3.8356e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2027e+01 1.1439e-01 -1.1912e+01 6.0000e+00 7.6260e-02
8.8085e+00 1.2375e+00 -4.3021e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2044e+01 1.1098e-01 -1.1933e+01 6.0000e+00 7.3985e-02
8.8085e+00 1.2375e+00 -4.1463e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2010e+01 1.2151e-01 -1.1888e+01 6.0000e+00 8.1003e-02
8.8085e+00 1.2375e+00 -4.1486e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1936e+01 1.7470e-01 -1.1761e+01 6.0000e+00 1.1646e-01
8.8085e+00 1.2375e+00 -3.8688e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1933e+01 1.9951e-01 -1.1734e+01 6.0000e+00 1.3301e-01
8.8085e+00 1.2375e+00 -3.7588e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1976e+01 2.0721e-01 -1.1769e+01 6.0000e+00 1.3814e-01
8.8085e+00 1.2375e+00 -4.3496e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1980e+01 1.3009e-01 -1.1850e+01 6.0000e+00 8.6724e-02
8.8085e+00 1.2375e+00 -4.4527e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2048e+01 7.0240e-02 -1.1978e+01 6.0000e+00 4.6827e-02
8.8085e+00 1.2375e+00 -4.4335e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2058e+01 7.0934e-02 -1.1987e+01 6.0000e+00 4.7289e-02
